tweet,replyCount,retweetCount,likeCount,quoteCount,hashtags,sourceLabel,emotion
"  هر چقدر از چندش بودنه این آدما بگیم کمه🤢
#No2IR",0,0,2,0,['No2IR'],Twitter for Android,disgust
"  فقط در چنین حکومتی قاتل وزیر و رئیس جمهور میشود! چقدر چٍندش اور است این موضوع که این واسدار به جای محاکمه دادگاه...
#دولت_قاتلان 
#نه_به_جمهوري_اسلامي",0,0,0,0,"['دولت_قاتلان', 'نه_به_جمهوري_اسلامي']",Twitter for Android,disgust
"بند و بساط ماله کشها و استمرار طلبها از #کلاب_هاوس جمع شد و همشون دنبال رئیسی افتادن تا زودتر بهش تبریک بگن ... 
عهه ... که چقدر این جانورهای چندش آورن!!! 
#دوزاری",0,0,0,0,"['کلاب_هاوس', 'دوزاری']",Twitter for Android,disgust
"مجری های جدید #صداوسیما  سیما دارند وارد فاز چندش می شوند، دختره داره با آقای دکتر درستی صحبت می کنه لحن خانم شیرزاد به توان ۵ ، هر دقیقه از واژه های وا ... ؟ اوا ؟؟ مرررسی دکترررر ؟ زبان بدن  Pole Strip Club
دهه ۶۰ مجری های متشخص خانم لبخند می زدند محروم بودند الان
",2,1,6,0,['صداوسیما'],Twitter Web App,disgust
"اون میرنه این هم میزنه . اره تا این اندازه چندش اور
#No2IR https://t.co/8kcNeVDCF3",0,0,0,0,['No2IR'],Twitter for Android,disgust
"نوعی سرکوب نرم هم بود که مطالبات مارو کنترل میکرد،حالا دیگه اون تاکتیک عمرش به سر اومده.
واقعا چندش بود مخصوصا این اواخر، هیچ چیزی برای ارائه نداشت جز یک کلمه
""تکرار""
دیگه عن شو در آوردن بودن جاکشا.
#مرگ_اصلاحات 
#no2ir",0,3,21,0,"['مرگ_اصلاحات', 'no2ir']",Twitter for Android,disgust
"تمامیت خواهان جاعشی! آنان که سرمست از پیروزی در سیرک انتخابات در خیابانهایی که در آبان ماه  قتلگاه مردمان رنجدیده و بی دفاع  ایران بود مارش پیروزی سر میدهند! یادآور نمایش چندش آور داعشی ها پس از فتح سرزمین شام! اما بدانید همانند داعش روز سرنگونی شما نیز دور نخواهد بود!   
#No2IR https://t.co/XwrVmAHbBB",1,3,7,0,['No2IR'],Twitter Web App,disgust
" این سیرک انتخابات یه خوبی داشت اونم پایان عمر سراسر نکبت اصلاح طلبهای چندش آور بود 
#NO2IR",0,2,4,0,['NO2IR'],Twitter for Android,disgust
یکی از #تناقض های چندش آور  همین جماعت چاپلوس هستند باید رسواشون کرد,0,0,3,0,['تناقض'],Twitter Web App,disgust
" من موندم دکتر سعید جلیلی به این آقایی و دینداری  و عده زیادی از طرفداراش آدمهای پاک و منطقی،،،، آخه این خر مذهبیها چجوری دور و بر ایشون هستن و خود گندشونو به ایشون چسبوندن؟!
خرمذهبی که خرمذهبی
#خرمذهبی_چندش",0,0,0,0,['خرمذهبی_چندش'],Twitter for Android,disgust
"فقط یک لحظه به این ماجرا فکر کنید که همتی قول داد در صورت رییس جمهور شدن آمار کشته های آبان رو اعلام کنه،الان رییس جمهور نشده و آماری هم اعلام نمیکنه و با دلی آرام و قلبی مطمئن میره پی کارش،حاکمیت ج ا لنجنزاریه که بعد از فتح شدن مشخص میشه چقدر کثیف و متعفن و چندش آور بوده
#No2IR",0,1,0,0,['No2IR'],Twitter for Android,disgust
"  ناموسمو با اون موجود چندش شیپ نکن خانومم
برو خونتون اصن

Yugyeom ALL YOUR FAULT 
#AllYourFault_Yugyeom
#PointOfViewU
#YUGYEOM
  https://t.co/CsBTFrDG2p",1,1,1,0,"['AllYourFault_Yugyeom', 'PointOfViewU', 'YUGYEOM']",Twitter for Android,disgust
"نمایشی که ۲۸ خرداد توسط رژیم اجرا شد با اختلاف مفیدترین نمایش برای مردم ایران بود چون دیگه مجبور نیستن با زجر و مشقت با گاله گشاد و خنده های چندش امثال ظریف و ماله‌کشای ریز و درشت رژیم و کثافاتی بنام طرفداران خاتمی مقابله کنن
#No2IR 
#نه_به_جمهوری_اسلامی",0,6,17,1,"['No2IR', 'نه_به_جمهوری_اسلامی']",Twitter Web App,disgust
" واقعا توییت هات سرشار از مرض و کینه است
#چِندِش",0,0,0,0,['چِندِش'],Twitter for Android,disgust
" همتون بازیگرهای تاریخ مصرف گذشته اید. نقشهای تکراری و چندش آور بازیهاتون هم دیگه خریدار نداره

#IdidNotVote
#No2IR",1,0,1,0,"['IdidNotVote', 'No2IR']",Twitter for Android,disgust
 نه! مثلا همين حامد بهداد تو سريال دل بسى چندش بود. ما شايگان دوس داريم. #مثال_نقض,0,0,5,0,['مثال_نقض'],Twitter for iPhone,disgust
"حسابش را کنید الان نایاکی‌ها قرار است، موجودی چندش آور چون ابراهیم رئیسی را بمالانند، واقعاً عذاب‌آور، مشمئزکننده، دردناک اما پر چرب و چیلی است، آخر و عاقبت همه ما بخیر باشد.

#رفراندوم_بود 
#No2IR",1,0,5,0,"['رفراندوم_بود', 'No2IR']",Twitter for Android,disgust
"چندش آور ترین کار : آشپزی کردنه /:

#کوت",0,0,0,0,['کوت'],Twitter for Android,disgust
چندش آورتر از همه اون دسته اصلاح‌طلب‌هایی هستند که تا کمتر ۲۴ ساعت پیش جانم فدای همتی میگفتن حالا میگن پیروز انتخابات مردم هستند. آدم از آرای باطله شکست بخوره و این همه رو داشته باشه به خدا غنیمته #از_شما_بیزاریم #اصلاح_طلب‌ها,1,0,5,0,"['از_شما_بیزاریم', 'اصلاح_طلب\u200cها']",Twitter for iPhone,disgust
 دیگه حتی خنده آور هم نیست این #داوری ، چندش آوره,0,0,1,0,['داوری'],Twitter for Android,disgust
" این جنایتکارا از آخوندا چندش آورتر هستن.
#No2IR",0,1,5,0,['No2IR'],Twitter for Android,disgust
  تا حالا تو آینه به خودت نگاه کردی و اون چهره چندش آور اصلاح طلبی دوزاریت را دیدی، امثال تو که تبلیغات چی انتخابات و حفظ نظام هستید، نه تو خود سیستم جایی دارید و نه در فردای #براندازی، مردم و ملت نشان دادند که فقط یک رای دارن اونم #نه_به_جمهوری_اسلامی هست و تمام.,0,0,1,0,"['براندازی', 'نه_به_جمهوری_اسلامی']",Twitter for Android,disgust
"به حول و قوه الهی، بساط مبتذل اصلاح طلبی، مسخره بازی ها، دهن کجی های گاه و بیگاه و بیانیه های متهوع و چندش آورشان برای همیشه جمع شد.
#انتخابات۱۴۰۰",0,0,0,0,['انتخابات۱۴۰۰'],Twitter for Android,disgust
 واقعا قيافه های این ادما هرچقدر هم سعی کنن بخودشون برسن باز زشت و چندش اور هستن 🌹🌹🙏#No2IR,0,0,3,0,['No2IR'],Twitter for iPhone,disgust
 اینور آب هر روز زیر یکی میخوابن، دوست دارن ایران هم که میرن ملاها بهشون نه نگن 🤮🤮 چندش های صیغه ای آشخور دوست پسرشم که از خودش مفعولتر 🤢 #نه_به_جمهوری_اسلامی #No2IR https://t.co/wX5gfHDJZu,0,1,7,0,"['نه_به_جمهوری_اسلامی', 'No2IR']",Twitter for iPhone,disgust
منتخب مردم ! میشه همون رییس جمهوری اسلامی صداش کنید از حالا؟ کمتر چندش اوره #رییسی,0,0,11,0,['رییسی'],Twitter for iPhone,disgust
" این چیز کش دو ماهه رفته سفر گالیور فکر کنم نمیخواد بر گرده بره ور دست چندش مهاجرانی تو لندن!
#No2IR",0,0,3,0,['No2IR'],Twitter for Android,disgust
  واقعا چقدر این استمرارطلبان چندش و در عین حال احمق و ساده لوح هستند! باور کنید الان یک فردی که بیسواد هست و ضایعات جمع میکنه بهتر میتونه از این استمرار طلب ساده لوح #آذرپیک تحلیل و یا پیش بینی کنه و مطمئنا میدونه رئیسی از قبل انتخاب شده! آخه توهم تا کجا؟؟؟,0,0,3,0,['آذرپیک'],Twitter Web App,disgust
" برای همه ما بد حجابا 
همه ما نا مسلمونا 
چقدر این ما چندش آوره 
هیچ وقت با این کثافتا ما نمیشم هیییچ وقت
#No2IR 
#نه_به_جمهوري_اسلامي",0,9,2,0,"['No2IR', 'نه_به_جمهوري_اسلامي']",Twitter for Android,disgust
"  تو رو خدا تو سریالت خواستی شخصیت روحانی باشه اسم و رسمش رو عوض کن حتی دیدن دوباره شخصیتی همچو این  بشر حالمو بد می کنه صدا خنده هاش چندش آوره!!
#مردم_میدان 
عزیزان فالو_بک به شرت هیاط",0,0,1,0,['مردم_میدان'],Twitter for Android,disgust
"همینقدر مشمئزکننده و چندش آور🤢🤢🤢
مثل سگ اطاعت کنید ازش که یه لقمه نون بندازه پیشتون حقیرهای بدبخت...
زن انقد چندش و پلشت؟؟؟؟؟؟
#هوو https://t.co/hhqobJJ722",2,0,9,1,['هوو'],Twitter for Android,disgust
"جا داره در حین برگزاری سیرک چندش اور انتصابات یادی هم کنیم از #آیت_الله_بی_بی_سی که امروز سنگ تموم گذاشت.
تفو بر تو  بی بی سی، تفو",0,0,10,0,['آیت_الله_بی_بی_سی'],Twitter for Android,disgust
"عروس شبیه کوکولاس کلان هاست دارن فیلم بازی میکنن چقد رحقیر و کثیف و چندش آور تف بهتون 🤣😂
 #رای_من_سرنگونی #انتخابات_۱۴۰۰ https://t.co/rgkf4i4Uch",2,10,10,3,"['رای_من_سرنگونی', 'انتخابات_۱۴۰۰']",Twitter Web App,disgust
"چقدر چندش آوره که با رای ندادن با کسایی همصدا بشی که هشتگ میزنن و از قاتل مولا علی (ع) تشکر میکنن. یکی از دلایل قوی رای دادن من قرار نگرفتن تو دسته اونها بود

#رای_دادم",2,6,15,0,['رای_دادم'],Twitter Web App,disgust
" کسی که شریک جنایات رژیم اون چندش آور نیست ؟!
#No2IR",1,1,3,0,['No2IR'],Twitter for Android,disgust
"صبا آذرپیک چقدر زنده اش از توییترش چندش تر، بی منطق تر، و هذیان گو تره! الان تومده ایران اینترنشنال قشنگ داره چرت میگه!
#رای_بی_رای 
#راى_من_سرنگونى",0,0,1,0,"['رای_بی_رای', 'راى_من_سرنگونى']",Twitter for iPhone,disgust
"واقعا #صداوسيما چندشه! چندش تر خبرنگاراش 
#انتخابات۱۴۰۰ 
#انتخابات",0,1,1,0,"['صداوسيما', 'انتخابات۱۴۰۰', 'انتخابات']",Twitter for iPhone,disgust
"رای دهندگانِ تروریست ۲۸خرداد ، شنبه تبدیل خواهند شد به #کاندوم_مستعمل
بینهایت چندش آورتراز آن 🤢 #No2IR
 #محسن_رضایی_رئیس_جمهور_شد https://t.co/waGdst0Q2B https://t.co/G0xI4vfzIh",0,0,4,1,"['کاندوم_مستعمل', 'No2IR', 'محسن_رضایی_رئیس_جمهور_شد']",Twitter for Android,disgust
" به به قاتل و دزد و متجاوز و قاچاقچی و البته یکسری گوسفند آدم نما!
همه دور هم جمع شدند 
چه تجمع چندش آوری!
#No2IR",1,1,3,0,['No2IR'],Twitter for Android,disgust
واقعا #اصلاح_طلب ها به شدت نفرت انگیز و چندش آور هستند و تنها حرفشون اینه به ما رای بدید اونا بیان بیچاره میشیم!!,3,0,28,0,['اصلاح_طلب'],Twitter for iPhone,disgust
" امیدوارم هرچی زودتر دیپورت بشن برن زیرخواب آخوندا بشن اینا چندش ترین موجودات روی زمینن

#No2IR",1,7,15,0,['No2IR'],Twitter for Android,disgust
"آدمها، چندش آورترین نقاب هارو می پسندن؛ من هر وقت برای هر کس خودم بودم، تنها تر شدم.. 
#کرت_کوبین",1,1,20,0,['کرت_کوبین'],Twitter for iPhone,disgust
" چندش ترین کسی ک نون ش با خون مردم می خوره 

#No2IR",0,0,0,0,['No2IR'],Twitter for Android,disgust
"  چقدر چندش آورِ این نظام
#No2IR",0,0,3,0,['No2IR'],Twitter for Android,disgust
"    چ چندش 
فقط اون کامنتای لوس پایین
#DFTF1stWin
#DontFightTheFeeling1stWin
#DONT_FIGHT_THE_FEELING 
",0,0,0,0,"['DFTF1stWin', 'DontFightTheFeeling1stWin', 'DONT_FIGHT_THE_FEELING']",Twitter for Android,disgust
 حزب باد شنيده بوديم اما نه بادى كه ازتوالتهاى مردم غيور وآزاديخواه ايران ميوزد خاك بر سرت على پروين چندش #راى_من_سرنگونى,0,2,1,0,['راى_من_سرنگونى'],Twitter for iPhone,disgust
"🤣😂 فاک اصلی اونه که رفته تو کونت ، قهبه  چندش ،  
خنده دارش تقلای این اقلیت بی وجود برای باز پس گیری مشروعیت . 
#No2IR https://t.co/PYT8vs4xev",2,9,31,0,['No2IR'],Twitter for Android,disgust
"حالا شما سعی کن با رای گیری هم فیو استار در بیاری ولی من فقط بلاک میکنم هیچ چیز فانی تو این داستان وجود نداره لطفا خوشمزه بازیاتونو واسه همون مسائل جنسی بزارید اینجوری کمتر چندش به نظر میرسید 
#رای_بی_رای",2,5,37,0,['رای_بی_رای'],Twitter for iPhone,disgust
"این دختره همیشه انقد چندش بوده یا جدیدا اینجوری شده:/
#رعنا_آزادی_ور",0,0,8,0,['رعنا_آزادی_ور'],Twitter for iPhone,disgust
" #جواد_ظریف دولپی گوه خورد مردک ماله کش چندش...
 
#نه_به_جمهوری‌_اسلامی
#خامنه‌ای_کفتار
#رئیسی_جلاد 

#No2IR",0,0,0,0,"['جواد_ظریف', 'نه_به_جمهوری\u200c_اسلامی', 'خامنه\u200cای_کفتار', 'رئیسی_جلاد', 'No2IR']",Twitter Web App,disgust
"وای چقدر چندش آورن اینها که میگن موسیقی حرام و .. پس چی شد تف به ریش رئیسی جلادو خامنه ای بیشرف 
#راى_من_سرنگونى https://t.co/kP8FVkIHSc",0,6,4,0,['راى_من_سرنگونى'],Twitter Web App,disgust
"چند لحظه به این تصویر چندش اور خیره شو... شرمسار نمیشوی که مشتی ابله شکمباره بر تو حکومت میکنند؟
#No2IR https://t.co/dRfuCkUgrX",0,0,1,0,['No2IR'],Twitter for Android,disgust
" خاک بر سرت الهه هیکس چندش
#No2IR",0,3,7,0,['No2IR'],Twitter for Android,disgust
"هیچ چیز، #زیبا، #مقدس یا #سکسی نیست. احساسات ما هستند که به دیگر چیزها معنا می‌بخشند. 
فقط احساسات انسانی هستند که یک سیب سرخ را هوس انگیز و مدفوع را چندش آور می‌کند. اگر #احساسات_انسانی را کنار بگذاریم، فقط انبوهی از مولکولها باقی می‌ماند.
#بیست_و_یک",0,0,16,0,"['زیبا', 'مقدس', 'سکسی', 'احساسات_انسانی', 'بیست_و_یک']",Twitter for Android,disgust
"ببینید تصاویری از لش بازی و رقص چندش آور ارازل  هواداران ساندیس خورو و هرزه ابراهیم رئیسی در یکی از ستادهای انتخاباتی او!!!
#رای_من_سرنگونی  
#جلاد_۶۷ https://t.co/J2zUgkJ3xS",0,2,3,0,"['رای_من_سرنگونی', 'جلاد_۶۷']",Twitter Web App,disgust
"  همیشه نان به نرخ روز خورها از دیکتاتورها چندش آورتر هستن
#رای_من_سرنگونی https://t.co/bEvcD7I3aU",0,0,0,0,['رای_من_سرنگونی'],Twitter Web App,disgust
" امیرحسین اعتمادی بسیار خوب صحبت کرد ولی رفتار نادر سلطانپور در جانبداری از الهه هیکس غیر حرفه ای، غیر اخلاقی و چندش آور بود! بهتره بشنوید نظر ناهید شیرپیشه راجع به این خانم مزدور، که اون رو بی شرف و بی شعور مینامد
#رای_بی_رای 
#راى_من_سرنگونى 
#No2IR",0,1,4,0,"['رای_بی_رای', 'راى_من_سرنگونى', 'No2IR']",Twitter for iPhone,disgust
"قاتل شماره یک : خلخالی 
انقدر که این مرتیکه چندش و وحشتناکه دوست ندارم راجب کارهاش بنویسم فقط به یاد افراد با شرف و میهن پرستی که به دست این جانی اعدام شدند 
از جمله امیر عباس هویدا که تا لحظه آخر عاشق میهنش بود 
#هویدا
#خلخالی",0,0,4,0,"['هویدا', 'خلخالی']",Twitter for Android,disgust
"حتی قیافه اش چندش آور است چه رسد به حرف و عملش 
#BoycottIranShamElections
#راى_من_سرنگونى https://t.co/JQmCL7hDrf",0,6,4,0,"['BoycottIranShamElections', 'راى_من_سرنگونى']",Twitter Web App,disgust
"این مدل ذلت برا اونایی که ممنوع هستند دوچرخه سواری و موتورسواری کنن ، چندش آوره تبلیغ برایرئ یسی جلاد ۶۷
#راى_من_سرنگونى https://t.co/gCpky63ioG",0,0,0,0,['راى_من_سرنگونى'],Twitter Web App,disgust
"#حسین_درخشان_گوه_خورد 

مردتیکه چندش با لباس قابل تحمل نیست!!
می‌خواد نود بده 🤮🤮🤮🤮🤮

#No2IR https://t.co/eLAtMH2epE",2,2,3,0,"['حسین_درخشان_گوه_خورد', 'No2IR']",Twitter for iPhone,disgust
"همچین فن پیجهایی واقعا چندش اورن
EXO We Are One
#EXO #엑소     https://t.co/JiTNPcNczk",0,2,1,0,"['EXO', '엑소']",Twitter for Android,disgust
"    یک نوع هراس از حفره های ریز... بیشتر از اینکه ترس باشه، انزجار و چندش هست
#No2IR",1,0,4,0,['No2IR'],Twitter for Android,disgust
"چندش لجن آن موقعه که دستور دادی مردم را هرجور هست سرکوب کنید، آن موقعه که برادران و خواهران ما را به خاک و خون کشیدی نمی‌دانستی حاکمان اصلی ایران همین مردم هستند،چه خیال کردی پیرخرفت کثیف، دیگر کسی فریب تورا نمی‌خورد شیاد قاتل

#تحریم_فعال_انتخابات
#IraniansBoycottElections https://t.co/CEJgPjiBF1",1,13,21,1,"['تحریم_فعال_انتخابات', 'IraniansBoycottElections']",Twitter for Android,disgust
" نه ب چندش 😄

#No2IR",0,2,1,0,['No2IR'],Twitter for Android,disgust
"هر وقت اصلاح طلبان علیه رانت خواری، اختلاس، دزدی و حرام خواری حرف میزنن یاد طالبان می افتم که حملات تروریستی داعش رو محکوم میکرد
همینقد خنده دار و چندش!
#رأی_میدهم",0,1,1,0,['رأی_میدهم'],Twitter for Android,disgust
دیدن پوسترهای نامزدهای ریاست جمهوری  کم بود باید پوسترنامزدهای شوراهای شهر با قیافه های کریه و فیگورهای چندش آور را نیز در سطح شهر ببینیم #no2IR #نه_به_جمهوری‌_اسلامی,0,4,4,0,"['no2IR', 'نه_به_جمهوری\u200c_اسلامی']",Twitter for iPhone,disgust
"هر وقت اصلاح طلبان علیه رانت خواری، اختلاس، دزدی و حرام خواری حرف میزنن یاد طالبان می افتم که حملات تروریستی داعش رو محکوم میکرد
همینقد خنده دار و چندش!

#رأی_میدهم",1,11,15,0,['رأی_میدهم'],Twitter for Android,disgust
"امیدوارم فردا اون آهنگ حماسی چندش که همیشه موقع نشون دادن صفوف انتخابات پخش میشه رو نشنوم..
#No2IR",1,59,93,0,['No2IR'],Twitter for Android,disgust
"برای استمرار طلبان و حامیان #همتی:
تمامی رئیس جمهورها از بدو این حکومت دینی، مترسکی بیش نبوده اند. نه تنها قوه مجریه، بلکه قوه مقننه و قضاییه نیز مترسک هستند. همه امور از بیت علی خامنه ای مدیریت می شود. خواهشا این بازی چندش آور را تمام کنید.

#No2IR 
#رای_بی_رای",0,1,1,0,"['همتی', 'No2IR', 'رای_بی_رای']",Twitter Web App,disgust
چرا اینقدر اقای #میرسلیم چندش، پر رو و گند اخلاق و #ناسپاس است!؟ https://t.co/MlxGl3oQvB,1,0,5,0,"['میرسلیم', 'ناسپاس']",Twitter for Android,disgust
"    دختریکه‌ی چندش😑🔪
#AllYourFault_Yugyeom
#야망의사나이유겸솔로데뷔
#Yugyeom

",0,1,2,0,"['AllYourFault_Yugyeom', '야망의사나이유겸솔로데뷔', 'Yugyeom']",Twitter for Android,disgust
"به نظرم چندش ترین چیز دنیا اینه که یه خانوم به شوهرش بگه آقایی🤮🤮
پسرا منشن بدید ببینم از نظر چجوریه؟
#پسر #منشن https://t.co/fK6t2lBjhN",1,1,3,1,"['پسر', 'منشن']",Twitter for Android,disgust
 ظريف با لبخند چندش آورش در زباله دان تاريخ ابدي ميشود #رای_بی_رای #نه_به_جمهوی_اسلامی,0,0,0,0,"['رای_بی_رای', 'نه_به_جمهوی_اسلامی']",Twitter Web App,disgust
" یکی بهش بگه گوه بخور با ملاقه انقد زر نزن قرمساق
اینا کی میخوان خفه شن 
چندش اورترین موجودات رو کره زمین اخوند مندیل به سر😑😑
#رای_بی_رای 
#نه_به_جمهوری_اسلامی",2,0,7,0,"['رای_بی_رای', 'نه_به_جمهوری_اسلامی']",Twitter for Android,disgust
" چقدر لبخند این جماعت چندش آوره
#IraniansBoycottElections 
#نه_به_جمهوری‌_اسلامی
#خامنه‌ای_کفتار
#رئیسی_جلاد 
#رای_بی_رای 
#No2IR",1,4,2,0,"['IraniansBoycottElections', 'نه_به_جمهوری\u200c_اسلامی', 'خامنه\u200cای_کفتار', 'رئیسی_جلاد', 'رای_بی_رای', 'No2IR']",Twitter Web App,disgust
"بیشتر از اینکه از روحانی بدم بیاد از ظریف بخاطر اون خنده های چندش آور و ذلت بار در مقابل دشمنان وجودی ایران بدم میاد #ظریف
#رای_من_رئیسی 
#انتخابات۱۴۰۰",0,0,0,0,"['ظریف', 'رای_من_رئیسی', 'انتخابات۱۴۰۰']",Twitter Web App,disgust
ده هزار کیلومتر دور از اون مملکت باشی بعد صاف جلوت تو قطار یک‌مرد ایرانی بشینه به چندش اورترین حال ممکن با زن پشت تلفن حرف بزنه و بعد شروع کنه به مالیدن خودش تمام صحنه های خودارضایی  و #عقده های جنسی که تو اتوبوس و تاکسی های ایران خالی میشد رو‌میاره صاف جلوی چشمت,0,0,0,0,['عقده'],Twitter for iPhone,disgust
"خزعبلات #جناب_آقای_همتی  با صدا و لحن حرف زدنش در ذهنم متواتر میشه
واقعا  چندش آور  این همه خر فرض کردن مردم
#جناب_آقای_همتی ، بله می‌شود  ولی شما نمی‌توانید https://t.co/mRG7ToUD8c",0,0,1,0,"['جناب_آقای_همتی', 'جناب_آقای_همتی']",Twitter for Android,disgust
خدایا همه آری فقط تصور #زاکانی_یاور_انقلاب نه. حتی تصورش چندش آوره https://t.co/hkpWRpzYhV,0,0,2,0,['زاکانی_یاور_انقلاب'],Twitter for Android,disgust
 اتفاقا فقط بخاطر اینکه دیگه خنده های کریه و چندش آور ظریف رو نبینم و دروغها و ماله هایش را نشنوم #رای_بی_ای,0,0,0,0,['رای_بی_ای'],Twitter for iPhone,disgust
"مرد، چرا انقدر چندش غذا میخوری؟
#DeathNote https://t.co/C0xBgHimKw",0,0,1,0,['DeathNote'],Twitter Web App,disgust
"حتی انصراف و تکذیبیه هاشون هم مثل مناظره کردنشون روی اعصاب و چندش آوره🤢😡
#زاکانی",1,0,8,0,['زاکانی'],Twitter for iPhone,disgust
" سوسک مسلمان پهن مغز!، بین #سوسک و #مسلمان شباهتهای عجیبی وجود دارد که حکایت از یکی بودن هر دو دارد!، هر دو چندش آورند و به چهار دیواری الله خیالی که 3 بار بعد از مسموم شدن و قتل محمد با خاک یکسان شد هجوم میبرند و عاشق ظلمت و تاریکی و کثافت و منجلاب هستند!
https://t.co/0YYZoO8tSr",0,0,0,0,"['سوسک', 'مسلمان']",Twitter Web App,disgust
"خامنه ای اولین دیکتاتور تاریخ است که هر دو سال یکبار نمایش انتخابات راه میندازه.
تابحال هیچ دیکتاتوری این آپشن تهوع آور و چندش رو نداشته.
#IraniansBoycottElections 
#رای_بی_رای",0,1,4,0,"['IraniansBoycottElections', 'رای_بی_رای']",Twitter for Android,disgust
" چرا عمه ها اینقدر چندش هستن آخه اه اه
#IraniansBoycottElections",1,0,1,0,['IraniansBoycottElections'],Twitter for Android,disgust
"         برای تو که مهم نیست ولی برای نظام فوق العاده مهمه
تا ظریف رو بفرسته اینور و اونور و خنده چندش آور بزنه و بگه ببینید مردم پشت نظام هستن 
امروز هم خامنه ای بار دیگر بر حضور مردم تاکید کرد 
#رای_نمیدهم",1,0,3,0,['رای_نمیدهم'],Twitter for iPhone,disgust
"چندش تر از کسایی که طرفدارای اقای جلیلیو (و بالعکس) رو قضاوت میکردن و بهشون تهمت میزدن
کسایی هستن که الان به طرفدارای آقای جلیلی (از دستی) میگن:
حالتون چطوره؟؟؟چی دارین بگین؟؟؟

فهم سیاسیتو بیشتر کن
اینقد بچه و کوته فکر نباش

#هوایی",3,5,28,0,['هوایی'],Twitter for Android,disgust
"پسره با شوق گفت:  به عشق  در نگاه اول اعتقاد داری؟ 
دختره یهو برداشت گفت:  نه ولی به چندش در نگاه اول خیلی معتقدم.....

 😎😂😂😏
#دیالوگ_فیلم",1,0,3,0,['دیالوگ_فیلم'],Twitter for Android,disgust
"#پراتتزی_عرض_کنم که

چندش
مالیدن کیک رو صورت کسی که تولدشه

چندش تر
خوردن کیک هایی که روی صورتت مالیدن

چندش تر تر
خوردن کیک هایی که روی صورتش مالیدن https://t.co/qyIh1QHsmh",1,3,14,0,['پراتتزی_عرض_کنم'],Twitter for Android,disgust
